FREQ:Frequency,OD_TYPE:Measure,OD_RISK_CAT:Risk category,OD_INSTR:Instrument,ISSUE_CUR:Issue currency,XD_EXCHANGE:Location of trade (Exchange or country),TIME_PERIOD:Period,OBS_STATUS:Status,OBS_VALUE:Value
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-01-31,A:Normal value,342545
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-02-28,A:Normal value,314431
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-03-31,A:Normal value,383244
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-04-30,A:Normal value,263057
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-05-31,A:Normal value,371796
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-06-30,A:Normal value,352106
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-07-31,A:Normal value,344741
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-08-31,A:Normal value,289129
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-09-30,A:Normal value,393153
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-10-31,A:Normal value,308114
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-11-30,A:Normal value,396068
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1993-12-31,A:Normal value,292372
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-01-31,A:Normal value,379318
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-02-28,A:Normal value,535245
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-03-31,A:Normal value,599336
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-04-30,A:Normal value,587745
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-05-31,A:Normal value,681536
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-06-30,A:Normal value,575790
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-07-31,A:Normal value,474393
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-08-31,A:Normal value,452488
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-09-30,A:Normal value,492445
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-10-31,A:Normal value,502311
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-11-30,A:Normal value,591374
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1994-12-31,A:Normal value,584143
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-01-31,A:Normal value,627964
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-02-28,A:Normal value,622048
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-03-31,A:Normal value,607306
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-04-30,A:Normal value,377442
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-05-31,A:Normal value,594336
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-06-30,A:Normal value,626153
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-07-31,A:Normal value,412796
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-08-31,A:Normal value,437098
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-09-30,A:Normal value,462820
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-10-31,A:Normal value,413004
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-11-30,A:Normal value,391935
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1995-12-31,A:Normal value,378039
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-01-31,A:Normal value,466893
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-02-29,A:Normal value,564585
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-03-31,A:Normal value,568644
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-04-30,A:Normal value,417103
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-05-31,A:Normal value,458586
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-06-30,A:Normal value,461180
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-07-31,A:Normal value,514354
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-08-31,A:Normal value,434394
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-09-30,A:Normal value,516163
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-10-31,A:Normal value,434283
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-11-30,A:Normal value,328320
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1996-12-31,A:Normal value,346648
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-01-31,A:Normal value,493479
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-02-28,A:Normal value,441727
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-03-31,A:Normal value,571465
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-04-30,A:Normal value,575066
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-05-31,A:Normal value,539951
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-06-30,A:Normal value,516427
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-07-31,A:Normal value,471378
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-08-31,A:Normal value,586757
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-09-30,A:Normal value,497018
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-10-31,A:Normal value,782632
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-11-30,A:Normal value,417546
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1997-12-31,A:Normal value,461603
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-01-31,A:Normal value,676315
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-02-28,A:Normal value,523135
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-03-31,A:Normal value,512564
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-04-30,A:Normal value,566380
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-05-31,A:Normal value,479522
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-06-30,A:Normal value,500829
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-07-31,A:Normal value,333580
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-08-31,A:Normal value,607471
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-09-30,A:Normal value,815780
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-10-31,A:Normal value,660046
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-11-30,A:Normal value,595587
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1998-12-31,A:Normal value,377460
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-01-31,A:Normal value,494732
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-02-28,A:Normal value,519852
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-03-31,A:Normal value,479512
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-04-30,A:Normal value,437359
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-05-31,A:Normal value,576972
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-06-30,A:Normal value,571472
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-07-31,A:Normal value,463008
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-08-31,A:Normal value,524149
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-09-30,A:Normal value,472531
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-10-31,A:Normal value,473342
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-11-30,A:Normal value,409597
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,1999-12-31,A:Normal value,328857
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-01-31,A:Normal value,541396
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-02-29,A:Normal value,628996
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-03-31,A:Normal value,554620
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-04-30,A:Normal value,651745
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-05-31,A:Normal value,596116
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-06-30,A:Normal value,559468
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-07-31,A:Normal value,447541
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-08-31,A:Normal value,406709
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-09-30,A:Normal value,523598
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-10-31,A:Normal value,511669
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-11-30,A:Normal value,465545
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2000-12-31,A:Normal value,629409
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-01-31,A:Normal value,992321
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-02-28,A:Normal value,846102
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-03-31,A:Normal value,882061
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-04-30,A:Normal value,928889
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-05-31,A:Normal value,887828
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-06-30,A:Normal value,872877
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-07-31,A:Normal value,740633
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-08-31,A:Normal value,809443
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-09-30,A:Normal value,1193494
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-10-31,A:Normal value,768495
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-11-30,A:Normal value,1274125
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2001-12-31,A:Normal value,859451
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-01-31,A:Normal value,1209271
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-02-28,A:Normal value,951415
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-03-31,A:Normal value,1129062
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-04-30,A:Normal value,998082
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-05-31,A:Normal value,1071263
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-06-30,A:Normal value,1113024
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-07-31,A:Normal value,1162027
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-08-31,A:Normal value,1081159
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-09-30,A:Normal value,1039313
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-10-31,A:Normal value,1079058
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-11-30,A:Normal value,949403
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2002-12-31,A:Normal value,671836
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-01-31,A:Normal value,899135
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-02-28,A:Normal value,895560
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-03-31,A:Normal value,1222977
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-04-30,A:Normal value,1014787
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-05-31,A:Normal value,1367505
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-06-30,A:Normal value,1572585
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-07-31,A:Normal value,1210681
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-08-31,A:Normal value,1196063
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-09-30,A:Normal value,1173664
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-10-31,A:Normal value,1118103
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-11-30,A:Normal value,1079185
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2003-12-31,A:Normal value,1033177
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-01-31,A:Normal value,1340249
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-02-29,A:Normal value,1185530
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-03-31,A:Normal value,1313618
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-04-30,A:Normal value,1765091
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-05-31,A:Normal value,1872104
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-06-30,A:Normal value,1926308
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-07-31,A:Normal value,1655031
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-08-31,A:Normal value,1702409
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-09-30,A:Normal value,2097562
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-10-31,A:Normal value,1669076
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-11-30,A:Normal value,1821220
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2004-12-31,A:Normal value,1371649
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-01-31,A:Normal value,1800320
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-02-28,A:Normal value,1959927
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-03-31,A:Normal value,2116642
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-04-30,A:Normal value,2537190
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-05-31,A:Normal value,2203790
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-06-30,A:Normal value,2138152
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-07-31,A:Normal value,1759331
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-08-31,A:Normal value,1905298
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-09-30,A:Normal value,2936635
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-10-31,A:Normal value,2064875
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-11-30,A:Normal value,2075935
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2005-12-31,A:Normal value,1672538
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-01-31,A:Normal value,2383785
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-02-28,A:Normal value,2379700
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-03-31,A:Normal value,2755542
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-04-30,A:Normal value,2657987
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-05-31,A:Normal value,2667378
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-06-30,A:Normal value,2904166
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-07-31,A:Normal value,2559861
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-08-31,A:Normal value,2797956
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-09-30,A:Normal value,2971270
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-10-31,A:Normal value,2563433
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-11-30,A:Normal value,2589470
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2006-12-31,A:Normal value,2591431
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-01-31,A:Normal value,2528616
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-02-28,A:Normal value,3144362
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-03-31,A:Normal value,3730982
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-04-30,A:Normal value,2355234
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-05-31,A:Normal value,2905251
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-06-30,A:Normal value,3461463
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-07-31,A:Normal value,3164256
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-08-31,A:Normal value,4493105
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-09-30,A:Normal value,3297890
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-10-31,A:Normal value,2747817
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-11-30,A:Normal value,3450232
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2007-12-31,A:Normal value,2651105
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-01-31,A:Normal value,4311740
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-02-29,A:Normal value,3724421
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-03-31,A:Normal value,3784686
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-04-30,A:Normal value,3321976
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-05-31,A:Normal value,3136146
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-06-30,A:Normal value,3728267
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-07-31,A:Normal value,3022880
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-08-31,A:Normal value,2295051
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-09-30,A:Normal value,3818519
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-10-31,A:Normal value,2522159
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-11-30,A:Normal value,1694557
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2008-12-31,A:Normal value,1493182
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2009-01-31,A:Normal value,1942148
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2009-02-28,A:Normal value,1939102
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2009-03-31,A:Normal value,1965300
M:Monthly,U:Turnover - notional amounts (daily average),C:Interest rate,T:Total futures,TO1:Total all currencies,North American,2009-04-30,A:Normal value,1756847
